Cuisine ID,Cuisine Name
6,Afghani
152,African
1,American
2,Andhra
4,Arabian
175,Armenian
3,Asian
401,Asian Fusion
165,Assamese
131,Australian
292,Awadhi
193,BBQ
5,Bakery
227,Bar Food
132,Belgian
10,Bengali
270,Beverages
1013,Bihari
7,Biryani
159,Brazilian
133,British
247,Bubble Tea
168,Burger
22,Burmese
30,Cafe
1039,Cafe Food
121,Cantonese
994,Charcoal Chicken
18,Chettinad
25,Chinese
1040,Coffee
161,Coffee and Tea
144,Contemporary
35,Continental
881,Crepes
1014,Cuisine Varies
192,Deli
100,Desserts
268,Drinks Only
985,Dumplings
149,Ethiopian
38,European
40,Fast Food
271,Finger Food
45,French
274,Fusion
134,German
47,Goan
156,Greek
181,Grill
48,Gujarati
143,Healthy Food
49,Hyderabadi
233,Ice Cream
148,Indian
114,Indonesian
154,International
140,Iranian
55,Italian
60,Japanese
164,Juices
65,Kashmiri
178,Kebab
62,Kerala
67,Korean
136,Latin American
66,Lebanese
157,Lucknowi
102,Maharashtrian
69,Malaysian
72,Mangalorean
70,Mediterranean
73,Mexican
137,Middle Eastern
1015,Mithai
1018,Modern Indian
147,Moroccan
75,Mughlai
166,Naga
117,Nepalese
231,North Eastern
50,North Indian
278,Oriental
269,Oriya
1048,Paan
139,Pakistani
209,Pan Asian
290,Parsi
183,Patisserie
162,Peruvian
82,Pizza
1019,Poké
87,Portuguese
88,Rajasthani
320,Ramen
27,Raw Meats
1005,Roast Chicken
1023,Rolls
84,Russian
998,Salad
304,Sandwich
83,Seafood
128,Sichuan
993,Sindhi
119,Singaporean
972,South American
85,South Indian
89,Spanish
86,Sri Lankan
141,Steak
90,Street Food
177,Sushi
163,Tea
150,Tex-Mex
95,Thai
93,Tibetan
142,Turkish
308,Vegetarian
99,Vietnamese
1024,Wraps
